date,home_team,away_team,home_score,away_score,neutral,LocationID,TournamentID
7/20/1902,Uruguay,Argentina,0,6,FALSE,9,1
10/12/1902,Austria,Hungary,5,0,FALSE,10,1
4/5/1903,Hungary,Czechoslovakia,2,1,FALSE,11,1
6/11/1903,Hungary,Austria,3,2,FALSE,11,1
9/13/1903,Argentina,Uruguay,2,3,FALSE,12,1
10/11/1903,Austria,Hungary,4,2,FALSE,10,1
6/2/1904,Hungary,Austria,3,0,FALSE,11,1
10/9/1904,Austria,Hungary,5,4,FALSE,10,1
2/12/1905,France,Switzerland,1,0,FALSE,13,1
4/9/1905,Hungary,Austria,0,0,FALSE,11,1
4/30/1905,Belgium,Netherlands,1,4,FALSE,14,1
5/7/1905,Belgium,France,7,0,FALSE,15,1
5/14/1905,Netherlands,Belgium,4,0,FALSE,16,1
4/1/1906,Hungary,Czechoslovakia,1,1,FALSE,11,1
4/22/1906,France,Belgium,0,5,FALSE,17,1
4/29/1906,Belgium,Netherlands,5,0,FALSE,14,1
5/13/1906,Netherlands,Belgium,2,3,FALSE,16,1
10/7/1906,Czechoslovakia,Hungary,4,4,FALSE,18,1
11/4/1906,Hungary,Austria,3,1,FALSE,11,1
4/7/1907,Hungary,Czechoslovakia,5,2,FALSE,11,1
4/14/1907,Belgium,Netherlands,1,3,FALSE,14,1
4/21/1907,Belgium,France,1,2,FALSE,15,1
5/5/1907,Austria,Hungary,3,1,FALSE,10,1
5/9/1907,Netherlands,Belgium,1,2,FALSE,19,1
10/6/1907,Czechoslovakia,Hungary,5,3,FALSE,18,1
11/3/1907,Hungary,Austria,4,1,FALSE,11,1
3/8/1908,Switzerland,France,1,2,FALSE,20,1
3/29/1908,Belgium,Netherlands,1,4,FALSE,14,1
4/5/1908,Hungary,Czechoslovakia,5,2,FALSE,11,1
4/5/1908,Switzerland,Germany,5,3,FALSE,21,1
4/12/1908,France,Belgium,1,2,FALSE,22,1
4/26/1908,Netherlands,Belgium,3,1,FALSE,16,1
5/3/1908,Austria,Hungary,4,0,FALSE,10,1
5/10/1908,Netherlands,France,4,1,FALSE,16,1
6/6/1908,Austria,England,1,6,FALSE,10,1
6/7/1908,Austria,Germany,3,2,FALSE,10,1
6/8/1908,Austria,England,1,11,FALSE,10,1
6/10/1908,Hungary,England,0,7,FALSE,11,1
6/13/1908,Czechoslovakia,England,0,4,FALSE,18,1
7/12/1908,Sweden,Norway,11,3,FALSE,23,1
10/25/1908,Netherlands,Sweden,5,3,FALSE,24,1
10/26/1908,Belgium,Sweden,2,1,FALSE,15,1
11/1/1908,Hungary,Austria,5,3,FALSE,11,1
3/21/1909,Belgium,Netherlands,1,4,FALSE,14,1
4/4/1909,Germany,Switzerland,1,0,FALSE,25,1
4/4/1909,Hungary,Germany,3,3,FALSE,11,1
4/25/1909,Netherlands,Belgium,4,1,FALSE,16,1
5/2/1909,Austria,Hungary,3,4,FALSE,10,1
5/9/1909,Belgium,France,5,2,FALSE,15,1
5/29/1909,Hungary,England,2,4,FALSE,11,1
5/30/1909,Hungary,Austria,1,1,FALSE,11,1
5/31/1909,Hungary,England,2,8,FALSE,11,1
6/1/1909,Austria,England,1,8,FALSE,10,1
11/7/1909,Hungary,Austria,2,2,FALSE,11,1
3/13/1910,Belgium,Netherlands,3,2,FALSE,14,1
4/3/1910,France,Belgium,0,4,FALSE,26,1
4/3/1910,Switzerland,Germany,2,3,FALSE,21,1
4/10/1910,Netherlands,Belgium,7,0,FALSE,19,1
4/24/1910,Netherlands,Germany,4,2,FALSE,27,1
5/1/1910,Austria,Hungary,2,1,FALSE,10,1
5/15/1910,Italy,France,6,2,FALSE,28,1
5/16/1910,Germany,Belgium,0,3,FALSE,29,1
5/26/1910,Hungary,Italy,6,1,FALSE,11,1
5/27/1910,Argentina,Chile,3,1,FALSE,12,1
5/29/1910,Chile,Uruguay,0,3,TRUE,12,1
6/5/1910,Argentina,Chile,5,1,FALSE,12,1
6/12/1910,Argentina,Uruguay,4,1,FALSE,12,1
9/11/1910,Chile,Argentina,0,3,FALSE,30,1
