date,home_team,away_team,home_score,away_score,neutral,Tournament,city,country,winner
25MAR1992,Scotland,Finland,1,1,FALSE,Friendly,Glasgow,Scotland,Tie
24MAR2022,Scotland,Poland,1,1,FALSE,Friendly,Glasgow,Scotland,Tie
23MAR1982,Scotland,Netherlands,2,1,FALSE,Friendly,Glasgow,Scotland,Scotland
13DEC1950,Scotland,Austria,0,1,FALSE,Friendly,Glasgow,Scotland,Austria
07MAY1958,Scotland,Hungary,1,1,FALSE,Friendly,Glasgow,Scotland,Tie
11MAY1966,Scotland,Netherlands,0,3,FALSE,Friendly,Glasgow,Scotland,Netherlands
27MAR1996,Scotland,Australia,1,0,FALSE,Friendly,Glasgow,Scotland,Scotland
02MAY1962,Scotland,Uruguay,2,3,FALSE,Friendly,Glasgow,Scotland,Uruguay
18NOV2014,Scotland,England,1,3,FALSE,Friendly,Glasgow,Scotland,England
21NOV1956,Scotland,Yugoslavia,2,0,FALSE,Friendly,Glasgow,Scotland,Scotland
26MAR2024,Scotland,Northern Ireland,0,1,FALSE,Friendly,Glasgow,Scotland,Northern Ireland
27APR1949,Scotland,France,2,0,FALSE,Friendly,Glasgow,Scotland,Scotland
06FEB1991,Scotland,Russia,0,1,FALSE,Friendly,Glasgow,Scotland,Russia
30APR2003,Scotland,Austria,0,2,FALSE,Friendly,Glasgow,Scotland,Austria
22FEB1978,Scotland,Bulgaria,2,1,FALSE,Friendly,Glasgow,Scotland,Scotland
10AUG2011,Scotland,Denmark,2,1,FALSE,Friendly,Glasgow,Scotland,Scotland
16OCT1985,Scotland,German DR,0,0,FALSE,Friendly,Glasgow,Scotland,Tie
15NOV2000,Scotland,Australia,0,2,FALSE,Friendly,Glasgow,Scotland,Australia
12MAY1951,Scotland,Denmark,3,1,FALSE,Friendly,Glasgow,Scotland,Scotland
16MAY1951,Scotland,France,1,0,FALSE,Friendly,Glasgow,Scotland,Scotland
07DEC1938,Scotland,Hungary,3,1,FALSE,Friendly,Glasgow,Scotland,Scotland
23JAN1946,Scotland,Belgium,2,2,FALSE,Friendly,Glasgow,Scotland,Tie
26MAR1986,Scotland,Romania,3,0,FALSE,Friendly,Glasgow,Scotland,Scotland
28MAR1990,Scotland,Argentina,1,0,FALSE,Friendly,Glasgow,Scotland,Scotland
06MAY1959,Scotland,Germany,3,2,FALSE,Friendly,Glasgow,Scotland,Scotland
10MAY1967,Scotland,Russia,0,2,FALSE,Friendly,Glasgow,Scotland,Russia
22JUN2021,Scotland,Croatia,1,3,FALSE,UEFA Euro,Glasgow,Scotland,Croatia
12NOV2005,Scotland,United States,1,1,FALSE,Friendly,Glasgow,Scotland,Tie
02JUN1979,Scotland,Argentina,1,3,FALSE,Friendly,Glasgow,Scotland,Argentina
08DEC1937,Scotland,Czechoslovakia,5,0,FALSE,Friendly,Glasgow,Scotland,Scotland
08MAY1963,Scotland,Austria,4,1,FALSE,Friendly,Glasgow,Scotland,Scotland
19MAY1990,Scotland,Poland,1,1,FALSE,Friendly,Glasgow,Scotland,Tie
19NOV2008,Scotland,Argentina,0,1,FALSE,Friendly,Glasgow,Scotland,Argentina
07APR1976,Scotland,Switzerland,1,0,FALSE,Friendly,Glasgow,Scotland,Scotland
21AUG2002,Scotland,Denmark,0,1,FALSE,Friendly,Glasgow,Scotland,Denmark
