date,home_team,away_team,home_score,away_score,neutral,Winner,City_Name,Country_Name,Tournament_Name
04MAY1955,Scotland,Portugal,3,0,FALSE,Scotland,Glasgow,Scotland,Friendly
09NOV2017,Scotland,Netherlands,0,1,FALSE,Netherlands,Aberdeen,Scotland,Friendly
26APR1972,Scotland,Peru,2,0,FALSE,Scotland,Glasgow,Scotland,Friendly
19MAY1990,Scotland,Poland,1,1,FALSE,Tie,Glasgow,Scotland,Friendly
07MAY1958,Scotland,Hungary,1,1,FALSE,Tie,Glasgow,Scotland,Friendly
15NOV2013,Scotland,United States,0,0,FALSE,Tie,Glasgow,Scotland,Friendly
07DEC1938,Scotland,Hungary,3,1,FALSE,Scotland,Glasgow,Scotland,Friendly
26MAR2024,Scotland,Northern Ireland,0,1,FALSE,Northern Ireland,Glasgow,Scotland,Friendly
14OCT1936,Scotland,Germany,2,0,FALSE,Scotland,Glasgow,Scotland,Friendly
23MAR2018,Scotland,Costa Rica,0,1,FALSE,Costa Rica,Glasgow,Scotland,Friendly
25MAR1998,Scotland,Denmark,0,1,FALSE,Denmark,Glasgow,Scotland,Friendly
04JUN2006,Ghana,South Korea,3,1,TRUE,Ghana,Edinburgh,Scotland,Friendly
15AUG2012,Scotland,Australia,3,1,FALSE,Scotland,Edinburgh,Scotland,Friendly
21NOV1956,Scotland,Yugoslavia,2,0,FALSE,Scotland,Glasgow,Scotland,Friendly
30APR1952,Scotland,United States,6,0,FALSE,Scotland,Glasgow,Scotland,Friendly
15OCT2002,Scotland,Canada,3,1,FALSE,Scotland,Edinburgh,Scotland,Friendly
07APR1976,Scotland,Switzerland,1,0,FALSE,Scotland,Glasgow,Scotland,Friendly
25MAR1992,Scotland,Finland,1,1,FALSE,Tie,Glasgow,Scotland,Friendly
23MAR1994,Scotland,Netherlands,0,1,FALSE,Netherlands,Glasgow,Scotland,Friendly
30APR2003,Scotland,Austria,0,2,FALSE,Austria,Glasgow,Scotland,Friendly
07SEP2018,Scotland,Belgium,0,4,FALSE,Belgium,Glasgow,Scotland,Friendly
23MAR1982,Scotland,Netherlands,2,1,FALSE,Scotland,Glasgow,Scotland,Friendly
14OCT2018,Scotland,Portugal,1,3,FALSE,Portugal,Glasgow,Scotland,Friendly
24MAR2022,Scotland,Poland,1,1,FALSE,Tie,Glasgow,Scotland,Friendly
29JUN2021,Sweden,Ukraine,1,2,TRUE,Ukraine,Glasgow,Scotland,UEFA Euro
26APR1950,Scotland,Switzerland,3,1,FALSE,Scotland,Glasgow,Scotland,Friendly
15MAY1946,Scotland,Switzerland,3,1,FALSE,Scotland,Glasgow,Scotland,Friendly
06FEB1991,Scotland,Russia,0,1,FALSE,Russia,Glasgow,Scotland,Friendly
08MAY1963,Scotland,Austria,4,1,FALSE,Scotland,Glasgow,Scotland,Friendly
12MAY1951,Scotland,Denmark,3,1,FALSE,Scotland,Glasgow,Scotland,Friendly
06FEB2013,Scotland,Estonia,1,0,FALSE,Scotland,Aberdeen,Scotland,Friendly
27APR1977,Scotland,Sweden,3,1,FALSE,Scotland,Glasgow,Scotland,Friendly
10MAY1967,Scotland,Russia,0,2,FALSE,Russia,Glasgow,Scotland,Friendly
13DEC1950,Scotland,Austria,0,1,FALSE,Austria,Glasgow,Scotland,Friendly
27APR1949,Scotland,France,2,0,FALSE,Scotland,Glasgow,Scotland,Friendly
22MAR2017,Scotland,Canada,1,1,FALSE,Tie,Edinburgh,Scotland,Friendly
27MAY2003,Scotland,New Zealand,1,1,FALSE,Tie,Edinburgh,Scotland,Friendly
02MAY1962,Scotland,Uruguay,2,3,FALSE,Uruguay,Glasgow,Scotland,Friendly
30OCT1974,Scotland,German DR,3,0,FALSE,Scotland,Glasgow,Scotland,Friendly
31MAR2004,Scotland,Romania,1,2,FALSE,Romania,Glasgow,Scotland,Friendly
25APR1990,Scotland,German DR,0,1,FALSE,German DR,Glasgow,Scotland,Friendly
28APR1948,Scotland,Belgium,2,0,FALSE,Scotland,Glasgow,Scotland,Friendly
08SEP1976,Scotland,Finland,6,0,FALSE,Scotland,Glasgow,Scotland,Friendly
18JUN1966,Scotland,Portugal,0,1,FALSE,Portugal,Glasgow,Scotland,Friendly
07JUN2024,Scotland,Finland,2,2,FALSE,Tie,Glasgow,Scotland,Friendly
14FEB1973,Scotland,England,0,5,FALSE,England,Glasgow,Scotland,Friendly
12SEP1984,Scotland,Yugoslavia,6,1,FALSE,Scotland,Glasgow,Scotland,Friendly
27MAY1997,Scotland,Wales,0,1,FALSE,Wales,Kilmarnock,Scotland,Friendly
14JUN2021,Scotland,Czech Republic,0,2,FALSE,Czech Republic,Glasgow,Scotland,UEFA Euro
24MAR1993,Scotland,Germany,0,1,FALSE,Germany,Glasgow,Scotland,Friendly
06MAY1953,Scotland,Sweden,1,2,FALSE,Sweden,Glasgow,Scotland,Friendly
21AUG2002,Scotland,Denmark,0,1,FALSE,Denmark,Glasgow,Scotland,Friendly
08DEC1937,Scotland,Czechoslovakia,5,0,FALSE,Scotland,Glasgow,Scotland,Friendly
30JUN1973,Scotland,Brazil,0,1,FALSE,Brazil,Glasgow,Scotland,Friendly
02JUN1979,Scotland,Argentina,1,3,FALSE,Argentina,Glasgow,Scotland,Friendly
14NOV1973,Scotland,Germany,1,1,FALSE,Tie,Glasgow,Scotland,Friendly
27MAR1996,Scotland,Australia,1,0,FALSE,Scotland,Glasgow,Scotland,Friendly
09SEP1987,Scotland,Hungary,2,0,FALSE,Scotland,Glasgow,Scotland,Friendly
12NOV2005,Scotland,United States,1,1,FALSE,Tie,Glasgow,Scotland,Friendly
22JUN2021,Scotland,Croatia,1,3,FALSE,Croatia,Glasgow,Scotland,UEFA Euro
16OCT1985,Scotland,German DR,0,0,FALSE,Tie,Glasgow,Scotland,Friendly
05MAY1954,Scotland,Norway,1,0,FALSE,Scotland,Glasgow,Scotland,Friendly
12SEP2023,Scotland,England,1,3,FALSE,England,Glasgow,Scotland,Friendly
20AUG2008,Scotland,Northern Ireland,0,0,FALSE,Tie,Glasgow,Scotland,Friendly
29MAR2016,Scotland,Denmark,1,0,FALSE,Scotland,Glasgow,Scotland,Friendly
18JUN2021,Croatia,Czech Republic,1,1,TRUE,Tie,Glasgow,Scotland,UEFA Euro
